sectionId,stadiumId,name,type
SEC1,S1,Section A,VIP
SEC2,S1,Section B,NORMAL
SEC3,S1,Section C,NORMAL
SEC4,S1,Section D,NORMAL
SEC5,S2,Section A,NORMAL
SEC6,S2,Section B,VIP
SEC7,S2,Section C,NORMAL
SEC8,S2,Section D,NORMAL
SEC9,S3,Section A,VIP
SEC10,S3,Section B,NORMAL
SEC11,S3,Section C,NORMAL
SEC12,S3,Section D,NORMAL
SEC13,S4,Section A,NORMAL
SEC14,S4,Section B,NORMAL
SEC15,S4,Section C,VIP
SEC16,S4,Section D,NORMAL
SEC17,S5,Section A,NORMAL
SEC18,S5,Section B,NORMAL
SEC19,S5,Section C,VIP
SEC20,S5,Section D,NORMAL
